Date,Category,Amount,Anomaly_Score,Anomaly_Severity
2023-12-29,Entertainment,14.37,-0.6747932792488225,Critical
2020-10-29,Utilities,15.32,-0.6738356907144523,Critical
2024-12-02,Utilities,39.3,-0.6653296380101,Critical
2023-11-09,Entertainment,15.45,-0.6510707261712626,Critical
2024-04-20,Utilities,19.62,-0.6508569212671032,Critical
2021-04-30,Rent,25.38,-0.6502332142988498,Critical
2023-12-09,Food & Drink,33.17,-0.6460498810041144,Critical
2023-10-03,Shopping,19.29,-0.6456437309203968,Critical
2022-03-17,Entertainment,23.59,-0.6455596304245447,High
2023-11-18,Food & Drink,29.25,-0.6449507020652598,High
2022-01-16,Entertainment,47.69,-0.6436536003971235,High
2024-11-03,Food & Drink,62.47,-0.6297926377274475,High
2024-02-29,Travel,59.16,-0.6287983115966399,High
2020-05-16,Rent,28.54,-0.6267822235999498,High
2021-01-15,Travel,53.66,-0.6239245187076449,High
2020-12-28,Travel,1994.88,-0.6230947351295484,High
2023-10-04,Entertainment,45.65,-0.6223056801729862,High
2021-03-12,Utilities,39.57,-0.6207823107931091,High
2021-07-24,Rent,47.82,-0.6129930984873401,High
2020-12-14,Entertainment,1961.74,-0.6087147866426262,High
2021-01-01,Food & Drink,101.52,-0.6065038932454658,High
2020-11-02,Utilities,1817.74,-0.6038780628731187,High
2022-12-05,Utilities,113.06,-0.6016336861952807,Medium
2021-06-23,Health & Fitness,46.28,-0.598950917465716,Medium
2022-04-05,Utilities,1985.77,-0.5986169210613508,Medium
2021-04-11,Travel,67.62,-0.5981085027214266,Medium
2023-12-05,Entertainment,1956.01,-0.5979168742674363,Medium
2022-09-11,Shopping,68.09,-0.5978792037638729,Medium
2020-12-30,Shopping,1956.89,-0.5975581779324609,Medium
2023-03-21,Rent,53.38,-0.5970361445117706,Medium
2024-03-07,Utilities,57.27,-0.5962527040712168,Medium
2022-11-26,Food & Drink,101.43,-0.5961582150697018,Medium
2024-01-19,Utilities,1962.86,-0.5959671769907947,Medium
2023-03-13,Utilities,71.85,-0.5937752573125381,Medium
2024-02-19,Utilities,89.48,-0.5932094568213397,Medium
2024-01-02,Rent,101.1,-0.5928475877679368,Medium
2024-06-14,Shopping,54.67,-0.5913499976418917,Medium
2024-05-27,Food & Drink,89.41,-0.5906217654048878,Medium
2023-01-23,Entertainment,1948.88,-0.5863560155043793,Medium
2020-09-23,Health & Fitness,67.11,-0.585998631573218,Medium
2023-11-08,Utilities,88.42,-0.5856284358129976,Medium
2021-03-09,Utilities,1975.18,-0.5855023884046242,Medium
2022-01-21,Health & Fitness,1996.26,-0.5852225795015035,Medium
2021-12-13,Health & Fitness,106.83,-0.5829225804026819,Medium
2020-06-22,Travel,86.13,-0.5826901758599752,Medium
2023-01-24,Entertainment,125.23,-0.5819852739453748,Medium
2020-08-16,Utilities,1961.64,-0.5818587348599611,Medium
2024-01-11,Utilities,1928.07,-0.5801775749422131,Medium
2023-09-16,Utilities,1984.77,-0.5796975049636381,Medium
2023-07-02,Utilities,1898.63,-0.5785211124107758,Medium
2022-12-01,Utilities,1765.47,-0.5779007447146185,Medium
2024-11-03,Rent,136.95,-0.5778055337458173,Medium
2020-06-30,Travel,98.33,-0.577455409868928,Medium
2023-11-11,Utilities,1899.4,-0.5768706691619422,Medium
