Month,Cluster,Cluster_Name,Income,Expense,Net,Savings_Rate,EI_Ratio
2020-01,0,DEFICIT MONTHS,6655.09,16061.16,-9406.07,-141.3364807989073,241.3364807989073
2020-02,1,BORDERLINE MONTHS,20364.31,16814.1,3550.2100000000028,17.43349025820174,82.56650974179827
2020-03,0,DEFICIT MONTHS,3465.0,13581.81,-10116.81,-291.97142857142853,391.9714285714285
2020-04,1,BORDERLINE MONTHS,9592.6,14010.45,-4417.85,-46.05477138627692,146.0547713862769
2020-05,0,DEFICIT MONTHS,6326.05,16528.08,-10202.030000000002,-161.27014487713504,261.270144877135
2020-06,1,BORDERLINE MONTHS,13453.84,19572.88,-6119.040000000001,-45.481736069404725,145.48173606940475
2020-07,0,DEFICIT MONTHS,6201.93,23916.34,-17714.41,-285.627377284168,385.627377284168
2020-08,0,DEFICIT MONTHS,16350.98,29976.82,-13625.84,-83.33347603629875,183.33347603629875
2020-09,0,DEFICIT MONTHS,7291.79,15608.36,-8316.57,-114.05388800280863,214.05388800280863
2020-10,1,BORDERLINE MONTHS,16722.62,18337.37,-1614.75,-9.656082599496967,109.65608259949695
2020-11,1,BORDERLINE MONTHS,12694.76,22409.4,-9714.64,-76.52480235939869,176.52480235939868
2020-12,0,DEFICIT MONTHS,8623.16,23479.96,-14856.8,-172.28950871838163,272.2895087183816
2021-01,1,BORDERLINE MONTHS,14082.1,15299.01,-1216.91,-8.641537838816653,108.64153783881665
2021-02,0,DEFICIT MONTHS,2980.17,17749.06,-14768.89,-495.572064680874,595.572064680874
2021-03,1,BORDERLINE MONTHS,30765.85,25923.39,4842.459999999999,15.739724402218693,84.26027559778132
2021-04,0,DEFICIT MONTHS,2226.6,22039.11,-19812.51,-889.8100242522232,989.8100242522232
2021-05,0,DEFICIT MONTHS,8831.43,20232.35,-11400.919999999998,-129.0948351512722,229.09483515127215
2021-06,0,DEFICIT MONTHS,7581.059999999999,20155.57,-12574.51,-165.86743806275112,265.86743806275115
