Date,Transaction Description,Category,Amount,Type,Year,Month_Num,Month_Period,Month_dt,Quarter,Day_of_Week,DOW_Num,Is_Weekend,Week_of_Year,Month_Name,Season,Expense_Type,Budget_Category,Is_Discretionary,Monthly_Budget_Limit,Amount_ZScore,Is_Outlier
2020-01-02,Score each.,Food & Drink,1485.69,Expense,2020,1,2020-01,2020-01-01,Q1_2020,Thursday,3,False,1,Jan,Winter,Variable,Needs,False,800.0,0.6943844717275647,False
2020-01-02,Quality throughout.,Utilities,1475.58,Expense,2020,1,2020-01,2020-01-01,Q1_2020,Thursday,3,False,1,Jan,Winter,Fixed,Needs,False,350.0,0.9301391826988176,False
2020-01-04,Instead ahead despite measure ago.,Rent,1185.08,Expense,2020,1,2020-01,2020-01-01,Q1_2020,Saturday,5,True,1,Jan,Winter,Fixed,Needs,False,1200.0,0.3711809731564575,False
2020-01-05,Information last everything thank serve.,Investment,2291.0,Income,2020,1,2020-01,2020-01-01,Q1_2020,Sunday,6,True,1,Jan,Winter,Income/Other,Savings,False,0.0,0.20979641312458433,False
2020-01-13,Future choice whatever from.,Food & Drink,1126.88,Expense,2020,1,2020-01,2020-01-01,Q1_2020,Monday,0,False,3,Jan,Winter,Variable,Needs,False,800.0,0.0944004758729844,False
2020-01-14,Benefit suggest page southern.,Shopping,448.68,Expense,2020,1,2020-01,2020-01-01,Q1_2020,Tuesday,1,False,3,Jan,Winter,Variable,Wants,True,600.0,0.9634861393159931,False
2020-01-18,By two bad fall pick.,Food & Drink,1520.03,Expense,2020,1,2020-01,2020-01-01,Q1_2020,Saturday,5,True,3,Jan,Winter,Variable,Needs,False,800.0,0.7518060887885335,False
2020-01-19,Court attorney product significant world.,Other,3287.0,Income,2020,1,2020-01,2020-01-01,Q1_2020,Sunday,6,True,3,Jan,Winter,Income/Other,Income/Other,False,0.0,0.4520378150823094,False
2020-01-21,Herself law.,Entertainment,1914.85,Expense,2020,1,2020-01,2020-01-01,Q1_2020,Tuesday,1,False,4,Jan,Winter,Variable,Wants,True,400.0,1.5759400669124581,False
2020-01-25,Have decide environment.,Rent,766.06,Expense,2020,1,2020-01,2020-01-01,Q1_2020,Saturday,5,True,4,Jan,Winter,Fixed,Needs,False,1200.0,0.39572477912146303,False
2020-01-25,Play move each left establish.,Health & Fitness,1211.41,Expense,2020,1,2020-01,2020-01-01,Q1_2020,Saturday,5,True,4,Jan,Winter,Variable,Needs,False,300.0,0.4369056109601419,False
2020-01-26,Range successful simply.,Salary,1077.09,Income,2020,1,2020-01,2020-01-01,Q1_2020,Sunday,6,True,4,Jan,Winter,Income/Other,Income/Other,False,0.0,0.0950388433951198,False
2020-01-29,Source husband.,Shopping,166.81,Expense,2020,1,2020-01,2020-01-01,Q1_2020,Wednesday,2,False,5,Jan,Winter,Variable,Wants,True,600.0,1.4753900799201096,False
2020-01-30,Tree note responsibility.,Health & Fitness,1158.93,Expense,2020,1,2020-01,2020-01-01,Q1_2020,Thursday,3,False,5,Jan,Winter,Variable,Needs,False,300.0,0.3474049609284109,False
